Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
3858,US-2017-105389,2017-10-23,10/28/2017,Second Class,DM-13015,Darrin Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10000634,Office Supplies,Art,Newell 320,10.272,3,0.2,0.8988
2896,CA-2017-139913,2017-10-23,10/29/2017,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Rochester,New York,14609,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,35.88,3,0.0,10.0464
4150,CA-2017-106068,2017-10-23,10/28/2017,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,55.2,1,0.2,-2.07
4148,CA-2017-106068,2017-10-23,10/28/2017,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",9.762,3,0.8,-15.1311
4151,CA-2017-106068,2017-10-23,10/28/2017,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",259.136,4,0.2,-58.3056
8448,CA-2017-125451,2017-10-23,10/24/2017,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,FUR-FU-10000277,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,210.68,2,0.0,50.5632
4149,CA-2017-106068,2017-10-23,10/28/2017,Standard Class,RB-19330,Randy Bradley,Consumer,United States,Austin,Texas,78745,Central,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,13.72,1,0.2,1.2005
8447,CA-2017-125451,2017-10-23,10/24/2017,First Class,AH-10075,Adam Hart,Corporate,United States,Cranston,Rhode Island,2920,East,FUR-FU-10004963,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",35.0,4,0.0,14.7
9612,CA-2017-144365,2017-10-24,10/30/2017,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Jackson,Mississippi,39212,South,OFF-FA-10000735,Office Supplies,Fasteners,Staples,11.68,4,0.0,5.256
8678,CA-2017-141705,2017-10-24,10/26/2017,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Mansfield,Texas,76063,Central,FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,517.405,5,0.3,-81.3065
87,CA-2017-155558,2017-10-26,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966
6664,CA-2017-162173,2017-10-26,11/1/2017,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Virginia Beach,Virginia,23464,South,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",356.85,5,0.0,60.6645
8808,US-2017-110646,2017-10-26,10/31/2017,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10004330,Office Supplies,Binders,"GBC Velobind Prepunched Cover Sets, Regency Series",33.282,3,0.7,-27.735
88,CA-2017-155558,2017-10-26,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568
7332,CA-2017-115119,2017-10-26,10/30/2017,Standard Class,SC-20440,Shaun Chance,Corporate,United States,Lancaster,Pennsylvania,17602,East,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,61.542,1,0.4,-13.3341
9532,CA-2017-102729,2017-10-26,10/31/2017,Standard Class,BF-11215,Benjamin Farhat,Home Office,United States,Dallas,Texas,75217,Central,OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",55.616,2,0.2,5.5616
8810,US-2017-110646,2017-10-26,10/31/2017,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001404,Office Supplies,Labels,Avery 517,14.76,5,0.2,4.9815
6665,CA-2017-162173,2017-10-26,11/1/2017,Standard Class,OT-18730,Olvera Toch,Consumer,United States,Virginia Beach,Virginia,23464,South,OFF-EN-10002831,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",251.58,7,0.0,113.211
7333,CA-2017-115119,2017-10-26,10/30/2017,Standard Class,SC-20440,Shaun Chance,Corporate,United States,Lancaster,Pennsylvania,17602,East,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",81.438,7,0.7,-65.1504
8809,US-2017-110646,2017-10-26,10/31/2017,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10002807,Technology,Phones,Motorla HX550 Universal Bluetooth Headset,118.65,5,0.4,19.775
9241,CA-2017-110310,2017-10-27,11/2/2017,Standard Class,NB-18655,Nona Balk,Corporate,United States,Tallahassee,Florida,32303,South,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,5.607,3,0.7,-3.9249
9242,CA-2017-110310,2017-10-27,11/2/2017,Standard Class,NB-18655,Nona Balk,Corporate,United States,Tallahassee,Florida,32303,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,6.576,3,0.2,0.5754
8477,CA-2017-134880,2017-10-27,11/1/2017,Standard Class,TW-21025,Tamara Willingham,Home Office,United States,Mesa,Arizona,85204,West,OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,44.784,1,0.2,16.2342
5673,CA-2017-127922,2017-10-27,11/3/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Dallas,Texas,75081,Central,OFF-EN-10003068,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,15.84,2,0.2,5.544
7620,CA-2017-151225,2017-10-27,10/29/2017,First Class,JM-15655,Jim Mitchum,Corporate,United States,Los Angeles,California,90032,West,TEC-PH-10004100,Technology,Phones,Griffin GC17055 Auxiliary Audio Cable,71.96,5,0.2,7.196
9240,CA-2017-110310,2017-10-27,11/2/2017,Standard Class,NB-18655,Nona Balk,Corporate,United States,Tallahassee,Florida,32303,South,OFF-PA-10001685,Office Supplies,Paper,Easy-staple paper,56.784,7,0.2,20.5842
4025,CA-2017-130764,2017-10-27,10/28/2017,First Class,JO-15145,Jack O'Briant,Corporate,United States,San Francisco,California,94110,West,TEC-PH-10003215,Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,95.84,4,0.2,34.742
3253,CA-2017-110373,2017-10-27,10/30/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Chicago,Illinois,60610,Central,OFF-AR-10003045,Office Supplies,Art,Prang Colored Pencils,7.056,3,0.2,2.205
3254,CA-2017-110373,2017-10-27,10/30/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Chicago,Illinois,60610,Central,TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,27.184,2,0.2,2.0388
5674,CA-2017-127922,2017-10-27,11/3/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Dallas,Texas,75081,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,8.448,2,0.2,2.64
4024,CA-2017-130764,2017-10-27,10/28/2017,First Class,JO-15145,Jack O'Briant,Corporate,United States,San Francisco,California,94110,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",556.665,5,0.15,6.549
7619,CA-2017-151225,2017-10-27,10/29/2017,First Class,JM-15655,Jim Mitchum,Corporate,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,189.576,1,0.2,9.4788
7714,CA-2017-139353,2017-10-28,10/30/2017,Second Class,JM-15250,Janet Martin,Consumer,United States,Fayetteville,North Carolina,28314,South,OFF-PA-10000300,Office Supplies,Paper,Xerox 1936,47.952,3,0.2,16.1838
7713,CA-2017-139353,2017-10-28,10/30/2017,Second Class,JM-15250,Janet Martin,Consumer,United States,Fayetteville,North Carolina,28314,South,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",147.184,2,0.2,-29.4368
6495,CA-2017-111262,2017-10-28,11/1/2017,Second Class,KH-16510,Keith Herrera,Consumer,United States,Houston,Texas,77095,Central,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,24.0,2,0.2,-2.7
4260,CA-2017-118367,2017-10-28,11/2/2017,Second Class,LO-17170,Lori Olson,Corporate,United States,New York City,New York,10035,East,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",47.98,2,0.0,23.99
6496,CA-2017-111262,2017-10-28,11/1/2017,Second Class,KH-16510,Keith Herrera,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,15.552,3,0.2,5.4432
7712,CA-2017-139353,2017-10-28,10/30/2017,Second Class,JM-15250,Janet Martin,Consumer,United States,Fayetteville,North Carolina,28314,South,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",77.952,3,0.2,15.5904
8910,CA-2017-160661,2017-10-28,11/1/2017,Standard Class,SA-20830,Sue Ann Reed,Consumer,United States,Everett,Massachusetts,2149,East,OFF-LA-10002475,Office Supplies,Labels,Avery 519,21.93,3,0.0,10.3071
6497,CA-2017-111262,2017-10-28,11/1/2017,Second Class,KH-16510,Keith Herrera,Consumer,United States,Houston,Texas,77095,Central,TEC-AC-10004510,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,26.176,2,0.2,-3.272
899,CA-2017-160983,2017-10-29,10/31/2017,Second Class,GB-14530,George Bell,Corporate,United States,Auburn,New York,13021,East,OFF-PA-10002250,Office Supplies,Paper,Things To Do Today Pad,46.96,8,0.0,22.5408
3547,CA-2017-155292,2017-10-30,11/1/2017,First Class,RD-19810,Ross DeVincentis,Home Office,United States,Richmond,Kentucky,40475,South,OFF-ST-10004963,Office Supplies,Storage,Eldon Gobal File Keepers,105.98,7,0.0,4.2392
3548,CA-2017-155292,2017-10-30,11/1/2017,First Class,RD-19810,Ross DeVincentis,Home Office,United States,Richmond,Kentucky,40475,South,OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",35.06,2,0.0,10.518
3438,CA-2017-152583,2017-10-30,10/30/2017,Same Day,RA-19945,Ryan Akin,Consumer,United States,Dallas,Texas,75217,Central,FUR-FU-10003849,Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",16.192,2,0.6,-8.5008
2281,CA-2017-142622,2017-10-30,11/2/2017,First Class,JK-15625,Jim Karlsson,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,614.272,8,0.2,-23.0352
2282,CA-2017-142622,2017-10-30,11/2/2017,First Class,JK-15625,Jim Karlsson,Consumer,United States,Seattle,Washington,98115,West,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,199.98,2,0.0,37.9962
3440,CA-2017-152583,2017-10-30,10/30/2017,Same Day,RA-19945,Ryan Akin,Consumer,United States,Dallas,Texas,75217,Central,OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,54.192,6,0.2,4.0644
3439,CA-2017-152583,2017-10-30,10/30/2017,Same Day,RA-19945,Ryan Akin,Consumer,United States,Dallas,Texas,75217,Central,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",251.006,2,0.3,-68.1302
2280,CA-2017-142622,2017-10-30,11/2/2017,First Class,JK-15625,Jim Karlsson,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,97.568,2,0.2,-6.098
3549,CA-2017-155292,2017-10-30,11/1/2017,First Class,RD-19810,Ross DeVincentis,Home Office,United States,Richmond,Kentucky,40475,South,FUR-CH-10000553,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",33.94,1,0.0,9.1638
1744,CA-2017-152807,2017-10-30,11/3/2017,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,11.168,2,0.2,-2.5128
1661,CA-2017-127285,2017-10-30,11/6/2017,Standard Class,MM-18055,Michelle Moray,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,13.904,2,0.2,5.214
1707,CA-2017-123491,2017-10-30,11/5/2017,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West,OFF-LA-10003077,Office Supplies,Labels,Avery 500,43.86,6,0.0,20.6142
1708,CA-2017-123491,2017-10-30,11/5/2017,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West,TEC-PH-10003505,Technology,Phones,Geemarc AmpliPOWER60,148.48,2,0.2,16.704
1745,CA-2017-152807,2017-10-30,11/3/2017,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Philadelphia,Pennsylvania,19140,East,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,442.4,7,0.2,-55.3
1743,CA-2017-152807,2017-10-30,11/3/2017,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004415,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",7.168,2,0.2,0.9856
1494,CA-2017-139661,2017-10-30,11/3/2017,Standard Class,JW-15220,Jane Waco,Corporate,United States,Vancouver,Washington,98661,West,FUR-FU-10002885,Furniture,Furnishings,Magna Visual Magnetic Picture Hangers,9.64,2,0.0,3.6632
1742,CA-2017-152807,2017-10-30,11/3/2017,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10004355,Office Supplies,Paper,Xerox 231,20.736,4,0.2,7.2576
3550,CA-2017-155292,2017-10-30,11/1/2017,First Class,RD-19810,Ross DeVincentis,Home Office,United States,Richmond,Kentucky,40475,South,OFF-LA-10001982,Office Supplies,Labels,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,30.0,8,0.0,14.4
1709,CA-2017-123491,2017-10-30,11/5/2017,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",7.42,2,0.0,3.71
1660,CA-2017-127285,2017-10-30,11/6/2017,Standard Class,MM-18055,Michelle Moray,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10004330,Office Supplies,Binders,"GBC Velobind Prepunched Cover Sets, Regency Series",88.752,3,0.2,27.735
1710,CA-2017-123491,2017-10-30,11/5/2017,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",71.992,1,0.2,-0.8999
1712,CA-2017-123491,2017-10-30,11/5/2017,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",1702.12,14,0.0,510.636
1711,CA-2017-123491,2017-10-30,11/5/2017,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0.0,6.567
6398,CA-2017-131632,2017-10-31,11/4/2017,Standard Class,AH-10120,Adrian Hane,Home Office,United States,Dallas,Texas,75217,Central,OFF-AR-10003651,Office Supplies,Art,Newell 350,5.248,2,0.2,0.5904
7828,CA-2017-117114,2017-10-31,11/5/2017,Standard Class,CY-12745,Craig Yedwab,Corporate,United States,Chicago,Illinois,60610,Central,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",9.912,3,0.2,3.2214
7827,CA-2017-117114,2017-10-31,11/5/2017,Standard Class,CY-12745,Craig Yedwab,Corporate,United States,Chicago,Illinois,60610,Central,TEC-PH-10004042,Technology,Phones,ClearOne Communications CHAT 70 OC Speaker Phone,508.768,4,0.2,38.1576
8227,CA-2017-104136,2017-11-01,11/4/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Everett,Massachusetts,2149,East,OFF-PA-10001033,Office Supplies,Paper,Xerox 1893,40.99,1,0.0,20.0851
2567,CA-2017-123967,2017-11-01,11/3/2017,Second Class,SF-20200,Sarah Foster,Consumer,United States,Bellingham,Washington,98226,West,OFF-BI-10001308,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,25.12,5,0.2,7.85
2568,CA-2017-123967,2017-11-01,11/3/2017,Second Class,SF-20200,Sarah Foster,Consumer,United States,Bellingham,Washington,98226,West,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,2665.62,9,0.0,239.9058
8226,CA-2017-104136,2017-11-01,11/4/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Everett,Massachusetts,2149,East,OFF-PA-10004243,Office Supplies,Paper,Xerox 1939,189.7,10,0.0,91.056
5503,CA-2017-127782,2017-11-02,11/6/2017,Standard Class,TH-21115,Thea Hudgings,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,3.312,1,0.2,0.6624
4880,CA-2017-143567,2017-11-02,11/5/2017,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,42420,South,OFF-EN-10004846,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,5.32,2,0.0,2.6068
7377,US-2017-145597,2017-11-02,11/5/2017,First Class,GG-14650,Greg Guthrie,Corporate,United States,Bloomington,Illinois,61701,Central,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,54.336,4,0.2,5.4336
3275,CA-2017-116358,2017-11-02,11/6/2017,Standard Class,KM-16225,Kalyca Meade,Corporate,United States,Overland Park,Kansas,66212,Central,OFF-FA-10003495,Office Supplies,Fasteners,Staples,18.24,3,0.0,9.12
3276,CA-2017-116358,2017-11-02,11/6/2017,Standard Class,KM-16225,Kalyca Meade,Corporate,United States,Overland Park,Kansas,66212,Central,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",27.78,6,0.0,9.1674
6823,US-2017-115609,2017-11-02,11/7/2017,Standard Class,CS-12505,Cindy Stewart,Consumer,United States,Los Angeles,California,90036,West,OFF-AP-10003040,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,168.1,5,0.0,43.706
5504,CA-2017-127782,2017-11-02,11/6/2017,Standard Class,TH-21115,Thea Hudgings,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-AP-10001962,Office Supplies,Appliances,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,20.136,3,0.2,1.2585
2890,CA-2017-164049,2017-11-02,11/6/2017,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Seattle,Washington,98105,West,OFF-PA-10000791,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",23.85,5,0.0,10.7325
9083,CA-2017-169005,2017-11-02,11/6/2017,Standard Class,BG-11035,Barry Gonzalez,Consumer,United States,Springfield,Virginia,22153,South,OFF-AR-10000246,Office Supplies,Art,Newell 318,5.56,2,0.0,1.4456
8020,CA-2017-167227,2017-11-02,11/5/2017,First Class,NP-18670,Nora Paige,Consumer,United States,Saint Louis,Missouri,63116,Central,OFF-AP-10001962,Office Supplies,Appliances,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,83.9,10,0.0,20.975
8399,CA-2017-120061,2017-11-02,11/7/2017,Second Class,SR-20425,Sharelle Roach,Home Office,United States,Springfield,Ohio,45503,East,FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,155.372,2,0.3,-35.5136
6258,CA-2017-141425,2017-11-02,11/6/2017,Second Class,AR-10825,Anthony Rawles,Corporate,United States,Columbus,Ohio,43229,East,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,384.592,2,0.2,-81.7258
5648,CA-2017-168179,2017-11-02,11/7/2017,Standard Class,JB-16000,Joy Bell-,Consumer,United States,Salt Lake City,Utah,84106,West,OFF-PA-10001800,Office Supplies,Paper,Xerox 220,19.44,3,0.0,9.3312
4585,US-2017-163790,2017-11-02,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-EN-10001335,Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",76.58,7,0.0,38.29
4586,US-2017-163790,2017-11-02,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk,8.8,5,0.0,4.224
4882,CA-2017-143567,2017-11-02,11/5/2017,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,42420,South,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,2249.91,9,0.0,517.4793
5506,CA-2017-127782,2017-11-02,11/6/2017,Standard Class,TH-21115,Thea Hudgings,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,859.2,4,0.4,-186.16
4883,CA-2017-143567,2017-11-02,11/5/2017,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,42420,South,OFF-ST-10001580,Office Supplies,Storage,Super Decoflex Portable Personal File,59.92,4,0.0,16.7776
4587,US-2017-163790,2017-11-02,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-BI-10003718,Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,590.352,6,0.2,206.6232
4588,US-2017-163790,2017-11-02,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-FA-10004838,Office Supplies,Fasteners,"Super Bands, 12/Pack",5.58,3,0.0,0.1674
4589,US-2017-163790,2017-11-02,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,FUR-FU-10002508,Furniture,Furnishings,Document Clip Frames,25.02,3,0.0,10.5084
4590,US-2017-163790,2017-11-02,11/4/2017,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,94526,West,OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,452.55,7,0.0,22.6275
8021,CA-2017-167227,2017-11-02,11/5/2017,First Class,NP-18670,Nora Paige,Consumer,United States,Saint Louis,Missouri,63116,Central,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,2,0.0,5.7624
5505,CA-2017-127782,2017-11-02,11/6/2017,Standard Class,TH-21115,Thea Hudgings,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10003845,Office Supplies,Envelopes,Colored Envelopes,8.856,3,0.2,2.8782
4881,CA-2017-143567,2017-11-02,11/5/2017,Second Class,TB-21175,Thomas Boland,Corporate,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",975.92,4,0.0,292.776
8294,US-2017-168802,2017-11-03,11/7/2017,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Seattle,Washington,98103,West,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,18.368,4,0.2,5.9696
8305,CA-2017-135419,2017-11-03,11/9/2017,Standard Class,BG-11740,Bruce Geld,Consumer,United States,Bakersfield,California,93309,West,FUR-TA-10001086,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",486.368,4,0.2,36.4776
